input,match,product_guide,product_guide_count
shitake mushroom,MUSHROOM SHITAKE 花菇,"MUSHROOM SHITAKE 花菇, ONION PEELED 去皮大洋葱",2
Prawns(31/40),Vannamei Prawn PTO 31/40 1kgx10pkt 凤尾虾,Vannamei Prawn PTO 31/40 1kgx10pkt 凤尾虾,1
CK23-0904BR Seara chicken whole leg,CHICKEN WHOLE LEG (SEARA) BRAZIL - 15KG,"PORK BELLY A RIND/O SINGLE/R SB/IN50x20(TONNIES)DE, CHICKEN WHOLE LEG (SEARA) BRAZIL - 15KG, CHICKEN LEG B/L S/O 200G UP (SADIA)(6PKTx2KG)-12KG, PORK COLLAR (SULINA) -12KG BR, CHICKEN WHOLE LEG B/I (PERDIGAO) -15KG BR",5
鱼,CREAM DORY FILLET 170-220GM (DOUBLE FISH) 6KG VN,"FRIES SHOESTRING (CB) 1KGX10PKT EU S薯条, CREAM DORY FILLET 170-220GM (2) 6KG VN 多利魚, CHICKEN POPCORN (PREMIER FIRST) 1KGX10PKT TH, CHICKEN SPICY POPCORN (SAHA FARMS) 1KGX10PKT 辣味鸡米花, Fries Shoestring Coated 7/7(Ecofrost)2.5Kgx4pkt BE, CREAM DORY FILLET 170-220GM (DOUBLE FISH) 6KG VN, Onion Rings Battered (Ecofrost) 1kgx10pkt BE 洋葱圈, FRIES SHOESTRING 7/7 (SUNNYDALE FARM) 1KGX10PKT BE",8
老虎虾,BLACK TIGER HOSO 16/20 (1OKGS) - PJ,"SQUID SKEWER 180GM 10PCS, 1.8KG X 5PKT (9KG/CTN) - PO, SUTCHI - BUTTERFLY CUT 800-1000, 10KGS, BLACK TIGER HOSO 16/20 (1OKGS) - PJ, 1/2 SHELL SCALLOP WITH ROE 9-10 - SPOF",6
White Cake,TEOCHEW FISH CAKE (20PCS),"SEAFOOD RING ROLL, CUTTLEFISH TOFU, TAU KEE PUFF, FRESH TAU KWA (M), CHICKEN BIG NGOH HIANG, TEOCHEW FISH CAKE (20PCS), COOKED FISH BALL",7
Egg,CHEW'S FRESH BROWN EGGS (B),"CHEW'S FRESH BROWN EGGS (B), CHEW’S PASTEURIZED LIQUID EGG WHITE 1KG, CHEW’S PASTEURIZED LIQUID EGG YOLK 1KG",3
frozen salmon portion cut 180/200g,FROZEN SALMON PORTION 180/200 - 10KG/CTN - PO,"FROZEN SMOKED SALMON (900GM) - PRE SLICE (10PKT) - EPOH, FROZEN SALMON PORTION 180/200 - 10KG/CTN - PO, SMOKED SALMON PRE-SLICED (900g X 10PKT) - PO, 9kg/ctn",4
Seabass Fillet - Fresh 140/170 金目鲈,FRESH SEABASS FILLET 140/170,"FRESH SEABASS FILLET 140/170, LOLIGO SQUID CUT M, (2KG/5BLK) - PO, OYSTER MEAT (L), 1KG X 10PKTS, PO",6
豆枝卷,BEANCURD ROLL,"KOREAN FISH CAKE, FRIED FISH BALL, BEANCURD ROLL",3
Fresh Seabass G600,FRESH SEABASS 600 (G),"FROZEN SEABASS (G) 600G, SQUID FLOWER CUT (1KG X 10PKT) - PO, FRESH SEABASS 600 (G), 41/50 PTO VANNAMEI SHRIMP (1KG X 10PKTS) - PO",4
鱼扒,(2B-71)-素鱼柳汉堡扒500G- Vgn Fish Steak(10pcs),"(1A-20A) 素火腿粒 900G VGN CUISSE HAM CUBE VWF (20 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A24A)(味根香) 素大板鱼500G VGN OSAKA FISH (32 PC), (2-70) 大罐 美乃滋酱 3L- VEGAN MAYONAISE (4 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), 三文鱼 - VEGAN SALMON FISH 230G (100 PC), 白带余-VEGAN RIBBON FISHLESS SOY 900G (20 PC), (新) 素白参-VEGAN BIG SEA CUCUMBER 900G (20 PC), (2B-71)-素鱼柳汉堡扒500G- VGN FISH STEAK(10PCS) (20 PC)",9
Luncheon meat,PORK LUNCHEON MEAT PREMIUM (MALING) 397GMX24CAN SG,"PORK LUNCHEON MEAT (Q3) 397GMX24CAN CN 午餐肉, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, VANNAMEI PRAWN PND 31/40 1KGX10PKT 虾肉, Pork Collar (Frimesa) 20kg BR 梅肉, PORK LUNCHEON MEAT PREMIUM (MALING) 397GMX24CAN SG, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR, Pork Collar (Sulina) 12kg BR 梅肉, Pork Collar (Aurora) 10kg BR 梅肉, SERVICE FEE",9
有皮层肉,PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE,"PORK BELLY A RIND/O SINGLE/R SB/IN50x20(TONNIES)DE, PORK BELLY B/L S/O (CRESSWELL) DE, PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, PORK BELLY A S/L SB/L SINGLE/R 20x50 (WILLMS) DE",4
Assorted Edible Flower,EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN),"(TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, (ES.M) EGYPTIAN STAR MIXED (10G/PUN), EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), KOPPERT CRESS - AFFILLA / TENDRIL CRESS (25G/PUN)",4
Chicken wings,Chicken Wing 100-120gm (Aurora) 9kg BR 鸡翅100-120,"CHICKEN WING 100-120GM (PERDIGAO) 15KG BR 鸡翅, Chicken Wing 90gm Up (Alliz) 15kg BR 鸡翅, Chicken Wing 90gm Up (Aveguay) 15kg AR 鸡翅, Chicken Wing 100-120gm (Aurora) 9kg BR 鸡翅100-120, EGG TOFU (TUNG) 130GM,(180PCX1) MY 蛋豆腐, JK Mutton Tripe Cut 2.5cm (Bag) SG 羊肚切",7
Mince meat,PULLED PORK (TAKAGI) VAC(10PKTx1KG),"SHOYU SOUP (TAKAGI) TS(20PKTx1KG)(K), KARAKA RAMEN (TAKAGI) (12PKTx450G)(K), PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, CHICKEN SAUSAGE (20PKTx1KG), RAMEN CHAR SIEW SLICE (TAKAGI) VAC(10PKT), BUTASHOGA RAMEN (TAKAGI) (12PKTx450G)(K), PULLED PORK (TAKAGI) VAC(10PKTx1KG), PORK HONEY BAKED HAM SLICED (GB) VAC(10PKTx1KG)",8
chicken mince,JK Chicken Minced (Bag) 2kgx10pkt SG,"Chicken Leg B/L S/L (Seara) 2kgx6pkt BR 无皮去骨腿, Broccoli (Sunny Farm) 1kgx10pkt CN 冷冻西兰花, Crab Sticks (China) 250gmx40pkt CN 中国蟹条, JK Chicken Minced (Bag) 2kgx10pkt SG, Chicken Leg B/L S/O 200gm Up(Aurora)2kgx6pkt BR, BROCCOLI FLOWER (SHAN) 1KGX10PKT CN 花椰菜花, Chicken Patties Healthy (New Multi) 1kgx10pkt MY, Fish Mackerel Saba Whole 400-600gm (Olav E.) 20kg",8
PORK COLLAR,PORK COLLAR (SULINA) -12KG BR,"PORK BELLY A RIND/O SINGLE/R SB/IN50x20(TONNIES)DE, PORK BELLY A S/O SINGLE/R SB/IN (PALI 189)NL, PORK BELLY A S/O SINGLE/R 20x50 PL121 (COMPAXO) NL, PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, PORK MINCE (2T) 50/50 BAG(6PKTx2KG), PORK BELLY B/L S/O SHEET/R (AURORA) IWP-25KG BR, PORK BELLY A S/O SINGLE/R (WILLMS) 20X50 VAC DE, PORK COLLAR (SULINA) -12KG BR, PORK BELLY B/L S/O (CRESSWELL) DE",9
Hakka Meat (thịt gà xay)6,HAKKA CHICKEN MINCED MEAT,"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), TAU KEE PUFF, CHICKEN BEANCURD, CUTTLEFISH WANTON, (L)FRESH FISH BALL (50), SEAFOOD BEANCURD, HAKKA CHICKEN MINCED MEAT",8
Chicken beancurd,CHICKEN BEANCURD,"SEAFOOD RING ROLL, CHILLI FISH CAKE, SMALL SITO-FISH CAKE, FISH CHIP (BLACK), CHICKEN BEANCURD, SEAFOOD WANTON, CUTTLEFISH WANTON, FISH FINGER, SEAWEED CHICKEN 紫菜鸡 1KG",9
鱼皮,Fish Skin 鱼皮 (600g/PKT),"SMALL OIL小桶油, Fish Skin 鱼皮 (600g/PKT), Golden Prawn Pancake黄金虾饼, Chicken Breast Meat 鸡胸肉, DD Chicken Katsudon (CD) 900G, Big Ngoh Hiang Roll (大五香卷), Kway Teow 粿条(小) (3kg)",7
Chicken with Beancurd(400g),(5) CRISPY CHIX W BEANCURD 400G,"(22) SUPER CRISPY CHICKEN 1KG, (5) CRISPY CHIX W BEANCURD 400G, BAKED CHICKEN BITES, DUROYAL SMALL B/FLY NOODLE (6PKT)",4
猪肉碎A,JK Pork Minced A (Bag) 2kgx10pkt SG 猪肉碎A,"Cream Dory Fillet 400-600gm 6kg (2) VN  多利魚, JK PORK FAT CUBE 2CM 5KG/PKT SG 猪油丁, JK CHICKEN WHOLE LEG CUT 2’’ 5KG/PKT SG 鸡大腿切, JK CHICKEN WHOLE LEG CUT 2'' 15KG SG 鸡大腿切2”, JK Beef Sliced 0.3cm (Bag) 2kg SG 牛肉片, JK PORK MINCED A (BAG) 2KGX6PKT SG 猪肉碎A, Fish Toman Fillet (S) 20kg TH 生鱼, JK PORK MINCED A THICK (BAG) 2KGX10PKT SG A粗",8
五香鱼饼各3包,LONG FISH CAKE,"CHICKEN BIG NGOH HIANG, LONG FISH CAKE, FULLY COOKED FRIED CHICKEN CRISPY KATSUDON",3
黄金虾片,Golden Prawn Pancake黄金虾饼,"SMALL OIL小桶油, Fish Skin 鱼皮 (600g/PKT), Golden Prawn Pancake黄金虾饼, Chicken Breast Meat 鸡胸肉, DD Chicken Katsudon (CD) 900G, Big Ngoh Hiang Roll (大五香卷), Kway Teow 粿条(小) (3kg)",7
Popcorn chicken,A11 POP CORN CHICKEN 1KG,"N1 CHICKEN NUGGET (10PKT), A11 POP CORN CHICKEN 1KG, TEMPURA CHICKEN NUGGET",3
FRESH FISH CAKE 8.生鱼丸包,FRESH FISH CAKE (VEG),"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), TAU KEE PUFF, CHICKEN BEANCURD, CUTTLEFISH WANTON, (L)FRESH FISH BALL (50), CHICKEN DUMPLING, SEAFOOD BEANCURD, HAKKA CHICKEN MINCED MEAT",9
春卷,(2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), 新春送礼 2025 CNY GIFTS, (2A)素小春卷400G SPRING ROLL (SMALL) ***** (20 PC), (1A-23A) - 味根香(五条) 紫菜小鱼-900G VGN FISH ROLL FISH (20 PC)",6
肉碎,JK PORK MINCED B THICK (BAG) 2KGX10PKT SG B粗,"JK PORK MINCED B THICK (BAG) 2KGX10PKT SG B粗, JK PORK BELLY CUBE 1.2CM 5KG/PKT SG 有皮肚肉丁, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, JK PORK MINCED B (BAG) 2KGX6PKT SG 猪肉碎B, JK CHICKEN WHOLE LEG CUT 2'' 15KG SG 鸡大腿切2”, JK Pork Belly Cube 0.5"" 5Kg/Pkt, 20Kg/Ctn 三层肉丁, JK Pork Belly Cube 2cm (Bag) SG",8
纯素炸花枝圈,OOS炸花枝圈(裹粉)(3KG)VEGAN FRIED SQUID RING (4 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (1A-23A) - 味根香(五条) 紫菜小鱼-900G VGN FISH ROLL FISH (20 PC), 新春送礼 2025 CNY GIFTS, 炸花枝圈(裹粉)(3KG)VEGAN FRIED SQUID RING (4 PC), (1B-31A) 鱼柳 300G WP - VEG FISH FINGER (40 PC), (75)高汤粉180G WP - VEG SOUP BASE (12 PC)",7
Chews omega 3 eggs,CHEW'S OMEGA 3 FRESH WHITE EGGS (550G) 10S,"CHEW'S OMEGA 3 FRESH WHITE EGGS (550G) 10S, MINIMART FARM EGGS 30S, CHEW'S FRESH BROWN EGGS (600G) 10S, CHEW'S FRESH KAMPONG EGGS (210G) 6S",4
Mini Pizza Donut Cheddar Jalapeno 100g BP20-0021DE,PIZZA-DONUT MINI JALAP-CHEDD 100G(13202)(BKM)(39P),"PIZZA-DONUT MINI JALAP-CHEDD 100G(13202)(BKM)(39P), PIZZA-DONUT MINI TOM-BASI 100G (13200)(BKM)(39PCS)",2
Pork belly,FR Belly自然猪肚肉,"FR Shoulder Butt自然猪五花肉, FR Loin Baby Ribs自然猪特龙, PORK COLLAR IBERICO SHABU (M/AFF) SP(20PKTx250G), FR Shoulder Lean自然猪前赤, Pork Fat猪油, PORK JOWL MEAT (STEAK) VP (FRISELVA) ES, Front Trotter前猪手尖, FR Pork Fillet 自然猪腰肉, FR Belly自然猪肚肉",9
Mince meat,PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE,"SHOYU SOUP (TAKAGI) TS(20PKTx1KG)(K), KARAKA RAMEN (TAKAGI) (12PKTx450G)(K), PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, CHICKEN SAUSAGE (20PKTx1KG), RAMEN CHAR SIEW SLICE (TAKAGI) VAC(10PKT), BUTASHOGA RAMEN (TAKAGI) (12PKTx450G)(K), PORK HONEY BAKED HAM SLICED (GB) VAC(10PKTx1KG)",7
背骨,PORK BACK BONE (BONAREA) SPAIN - 10KG,"PORK BACK BONE (284) AU, Loin Bone W/O End 龙骨去尾, PORK HUMERUS BONE HALF CUT (MULLER) DE -10KG, PORK BELLY A R/ON SIN/R SB/I 20x50(BOSELER)VAC DE, Hind Hock Burn Split Half Cut 2 猪脚烧毛开边切半, PORK BONE IN BACK BONE (L/VALLEY) AUST 背骨, PORK BACK BONE (BONAREA) SPAIN - 10KG, Pork Kidney 猪肾, Pork Sweet Intestine by Carton-822 箱头猪粉肠",9
Yakitori with sauce,YAKITORI WITH SAUCE,"CHICKEN BALL 500G, KT01 CHICKEN KATSU 70G, YAKITORI WITH SAUCE, TEMPURA CHICKEN NUGGET, GRILLED BONEIN LEG 5PC, JPS03 PORK SAUSAGE ARABIKI",6
Loin ribs,FR Loin Baby Ribs自然猪特龙,"FR Shoulder Butt自然猪五花肉, FR Loin Baby Ribs自然猪特龙, FR Pork Fillet 自然猪腰肉, FR Belly自然猪肚肉",4
Frozen Toman Sliced,FROZEN TOMAN SLICE (1KG X 10PKT) - PO,FROZEN TOMAN SLICE (1KG X 10PKT) - PO,1
seara去皮鸡腿肉,Chicken Leg B/L S/L (Seara) 2kgx6pkt BR 无皮去骨腿,"Chicken Leg B/L S/L (Seara) 2kgx6pkt BR 无皮去骨腿, Chicken Leg B/L Skinless (Sadia) 2kgx6pkt BR, Chicken Leg B/L S/O 200gmUp (Seara) 2kgx6pktBR鸡去骨腿, Chicken Mid Joint Wings (Avivar)2kgx6pkt BR鸡中翅, Chicken Mid Joint Wing (Aurora) 1kgx12pkt BR 鸡中翅, CHICKEN LEG B/L S/O 200GM UP (SADIA) 2KGX6PKT BR, CHICKEN LEG B/L SKINLESS (COPACOL) 2KGX6PKT BR, Aurora Chicken B/L Leg Skinless 12Kg/Ctn 无皮去骨腿",8
pork jowl,Canada Pork Jowl Fillet 加拿大脸肉,"Canada Pork Belly B/L S/L 加拿大去皮肚肉, Canada Pork Fillet 加拿大腰肉, Canada Pork Jowl Fillet 加拿大脸肉, Canada Pork Shoulder Butt 加拿大五花, Canada Pork Loin Boneless 加拿大肉头, Canada Pork Boneless S/L Belly Single Rib-HYLIFE, Minced Meat Grade A上等搅肉",7
鸡中翅3包,Crispy Chicken Mid Wing鸡中翅,"Fried Fish Ball (炸鱼丸) -A, Nugget/金鸡块, Cheese Tofu (芝士豆腐), Crispy Chicken Mid Wing鸡中翅, Dou Gan(M) (豆干 - 中), BIG FISH BALL (XL) 特大鱼丸, DD Chicken Katsudon (CD) 900G, QQ Pork sausage (台湾香肠－猪), OTAH ROLL (乌打卷)",9
Baby back ribs Frimesa,PORK LOIN BACK RIB (FRIMESA) -10KG BR,"FR Loin Bone In Skin On自然猪毛骨带皮, PORK LOIN BACK RIB (FRIMESA) -10KG BR, FR Belly自然猪肚肉, Hind Leg B/In Skin On 后腿仔",4
叉烧,经济叉烧切(空白袋)-900G VEG CHARSIEW SLICE,"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), 1A14 素汕头(B)叉烧切 900G VEG CHARSIEW SLICEB (10 PC), (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC), (1A25A)素世界 素 叉烧切900G VGN BBQ GLUTEN SLICED VWF (10 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), 新春送礼 2025 CNY GIFTS, 经济叉烧切(空白袋)-900G VEG CHARSIEW SLICE, (1A-3A) 素香味鸡丁900G VGN CRISPY CHICKEN DICED (20 PC)",9
Flower lala,FLOWER YELLOW CLAM 30/40 (500gm x 20P/CTN) - PO,"FRESH SEABASS 500G (G) - BTF, 21/25 PTO VANNAMEI SHRIMP (1KG X 10P) - PO, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, SUTCHI (CUBE) 25/35 (2KG X 3PKTS), FRESH TILAPIA 400/600G (G)",5
Long fish cake,Jian Yu Bing (尖鱼饼),"BIAN XIANG (扁香), Liver Roll (猪肝卷), YAM  ROLL (芋酥), NGO HIANG  (五香卷), Chilli Sauce (辣椒酱) 3KG/PKT, Jian Yu Bing (尖鱼饼), PRAWN CRACKER (虾饼)",7
Sutchi butterfly 600/800 -13ctn,"SUTCHI - BUTTERFLY CUT 600-800, 10KGS","SUTCHI - BUTTERFLY CUT 600-800, 10KGS",2
鹅肉,SEAFOOD RING ROLL,"SEAFOOD RING ROLL, TEOCHEW FISH CAKE (20PCS), FRESH TAU KWA (M)",3
攪黃姜,(2A-2023A) -一公斤 黄姜 - Yellow Ginger,"(1B51)齐善猴头菇 1 KG WP VGN MONKEY HEAD MUSHROOM (12 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (2A-23A) -一公斤 马搅力 - Candlenut Grounded, (2A-2023A) -一公斤 葱毛 - Lemon Grass Grounded, (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (2A-2023A) -一公斤 黄姜 - Yellow Ginger, 2B-77 齐善 黄豆卷(白素鸡) 500G VGN SOYA BEAN ROLL (20 PC), (2A-2023A) -一公斤 南姜 - Tumeric Powder",8
pork big bone cut,Pork Big Bone Cut 切割大骨,"Minced Meat Grade B搅肉, Minced Meat Grade A上等搅肉, Pork Big Bone Cut 切割大骨, CHICKEN LEG B/L S/O 200G VAC (6PKTX2KG) TH",4
大粒鱼丸,BIG FISH BALL (XL) 特大鱼丸,BIG FISH BALL (XL) 特大鱼丸,1
薯条花,Fries Crinkle Cut (Sunnydale Farms) 1kgx10pkt BE,"MIXED VEGETABLES (SUNNYFARM) 1KGX10PKT CN 杂豆, FRIES CRINKLE CUT  (CB) 1KGX10PKT EU K薯条, Fries Crinkle Cut (Sunnydale Farms) 1kgx10pkt BE, MIXED VEGETABLES (SHAN) 1KGX10PKT CN 杂豆, MIXED VEGETABLE (SHIPLEADER) 1KGX10PKT CN 船师傅杂豆, Fries Crinkle Cut (Farmchef) 1kgx10pkt BE K 薯条, Fries Straight Cut Coat 9/9(Ecofrost)2.5kgx5pkt BE, FRIES CRINKLE CUT (SUNNYDALE FARMS) 2.5KGX4PKT BE",8
japanese eggs,EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI,"CABBAGE ROUND 包菜, EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, PEAR PACKHAM GREEN 青皮梨盒装 (150G-200G/NOS), SPEARMINT 薄荷叶 (50G/PKT)",4
Chicken beancurd,CHICKEN BEANCURD,"SEAFOOD RING ROLL, CHILLI FISH CAKE, SMALL SITO-FISH CAKE, FISH CHIP (BLACK), CHICKEN BEANCURD, SEAFOOD WANTON, CUTTLEFISH WANTON, FISH FINGER, SEAWEED CHICKEN 紫菜鸡 1KG",9
