input,match,product_guide,product_guide_count
2.27kg per pkt type,FRESH BLACK POMFRET,"SUTCHI FILLET 300/400,SQUARE (6 KGS) 84, 1/2 SHELL SCALLOP WITH ROE 9-10 - SPOF, 16/20 PTO VANNAMEI SHRIMP (1KG X 10PKTS) PO, SOFT SHELL CRAB 120-150 (10KG/CTN) - GPOS, SCOTIA BAY SCALLOP MEAT 16/20, 1KG X 10/CTN, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, 16/20 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, SCOTIA BAY SCALLOP MEAT 16/20, 2.27KG X 6/CTN, FRESH GOLDEN POMFRET é‡‘æ˜Œ CL, FRESH BLACK POMFRET, BLACK TIGER HOSO 16/20 (1OKGS) - PJ, HZF - SEABASS FILLET 3/5, 10KG/CTN, FRESH WHITE POMFRET 300-400G",17
带子,"SCOTIA BAY SCALLOP MEAT 16/20, 2.27KG X 6/CTN","LOLIGO SQUID CUT S, (2KG/5BLK) - PO, 21/25 PND VANNAMEI SHRIMP (1KG X 10P) - PO, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, 41/50 PTO VANNAMEI SHRIMP (1KG X 10PKTS) - PO, COOKED TIGER PRAWN 26/30, 10KG - PJ, SCOTIA BAY SCALLOP MEAT 16/20, 2.27KG X 6/CTN, COOKED VANNAMEI SHRIMP HOSO 26/30,10KGS PJ",11
Strawberry,STRAWBERRY 草莓 (250G/PUN),"GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), PINEAPPLE DOLE 菲侓宾黄梨 (700G-800G/NOS), ROSEMARY 迷迭香 (50G/PKT), LIME LEAF / KAFFIR LEAVES 柠檬叶 (300G/BUN), CELERY IMPORTED 西芹菜, PADI CHILLI GREEN 青小辣椒 / 青朝天椒 (250G/PKT), BLACKBERRY 黑莓 (100G-125G/PKT), GINGER YOUNG 幼姜 / 子姜, EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS), CHILLI JALAPENO GREEN青墨西哥哈拉贝纽辣椒, APPLE FUJI RED 富士红萍果 (100G-150G/NOS), BANANA LEAF 香蕉叶 (10PCS), SPEARMINT 薄荷叶 (50G/PKT), STRAWBERRY 400G 草莓, CHILLI GREEN 青辣椒 (250G/PKT), LIME SMALL / CALAMANSI 酸柑 / 柑仔, PADI CHILLI RED 红小辣椒 / 红潮天椒 (250G/PKT), PINEAPPLE HONEY 水晶黄梨 (700G-800G/NOS), WATERMELON 5KG 无子西瓜, ORANGE VALENCIA 水橙子 (120G-200G/NOS), BASIL 罗勒 / 九辰塔 (50G/PKT), CUCUMBER JAPANESE 日本黄瓜 (KG), LIME SEEDLESS 无子青柠檬, BLUEBERRY 兰莓 (100G-125G/PKT)",26
Chives,EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN),"(RVS) RED VEIN SORREL CRESS MG, (LB) LEMON BALM CRESS MG, LEEK CHINESE 中国大葱, GARLIC CHIVE (250G/BUN), DILL 茴香 / 莳萝 (50G/PKT), (AMR) AMARANTH RED CRESS MG, KOPPERT CRESS - LEMON BALM / MELISSA CRESS (25G/PUN), SCARLET RED AMARANTH (KPC-AMR), SPRING ONION 青葱, GARLIC SPROUT  蒜苔 (250G/BUN), EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN), (SS.P) SHISO PURPLE CRESS MG, (ES.M) EGYPTIAN STAR MIXED (10G/PUN), PEA SWEET / ENGLISH PEA / GARDEN PEA 甜豆 (130G/PKT), KOPPERT CRESS - VENE / RED VEIN SORREL CRESS (25G/PUN), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), PEA SNOW 荷兰豆 / 扁豆 (130G/PKT), KOPPERT CRESS - SHISO PURPLE CRESS (25G/PUN)",18
Loin Bone In With Fat毛骨带油,Loin Bone In With Fat毛骨带油,"Shoulder Butt Bone In 五花带骨, Pork Tongue 猪舌, Shoulder Butt With Skin五花肉带皮, Belly肚肉, Pork Tail 猪尾, Spare Rib With Collar 排骨连五花, Loin Prime Ribs With Cartilage特龙带骨支, Loin Boneless Skin On 肉头带皮, Hind Knuckle (German) 德式后元蹄, Shoulder Butt 五花肉, Pork Fillet 腰肉, Loin Boneless Fat On 肉头带油, Pork Diaphiam 猪肝沿, Shoulder Lean Skin On Bone In前赤带皮带骨, Loin Bone In With Fat毛骨带油, Hind Lean 后赤, Pork Skin 猪皮, Spare Rib 排骨, Front Trotter前猪手尖",19
Mint leaf,SPEARMINT 薄荷叶 (50G/PKT),"BLUEBERRY 兰莓 (100G-125G/PKT), TOMATO (500G/PKT) 蕃茄, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), ONION LARGE BROWN 大洋葱, RASPBERRY 山莓 / 红莓 (100G-125G/PUN), CUCUMBER JAPANESE 日本黄瓜 (KG), SPEARMINT 薄荷叶 (50G/PKT), POTATO LOCAL 土豆 / 马铃薯, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS)",12
Spearmint Leaves 50g,SPEARMINT 薄荷叶 (50G/PKT),"GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), PINEAPPLE DOLE 菲侓宾黄梨 (700G-800G/NOS), ROSEMARY 迷迭香 (50G/PKT), LIME LEAF / KAFFIR LEAVES 柠檬叶 (300G/BUN), CELERY IMPORTED 西芹菜, PADI CHILLI GREEN 青小辣椒 / 青朝天椒 (250G/PKT), BLACKBERRY 黑莓 (100G-125G/PKT), GINGER YOUNG 幼姜 / 子姜, EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS), CHILLI JALAPENO GREEN青墨西哥哈拉贝纽辣椒, APPLE FUJI RED 富士红萍果 (100G-150G/NOS), BANANA LEAF 香蕉叶 (10PCS), SPEARMINT 薄荷叶 (50G/PKT), STRAWBERRY 400G 草莓, CHILLI GREEN 青辣椒 (250G/PKT), LIME SMALL / CALAMANSI 酸柑 / 柑仔, PADI CHILLI RED 红小辣椒 / 红潮天椒 (250G/PKT), PINEAPPLE HONEY 水晶黄梨 (700G-800G/NOS), WATERMELON 5KG 无子西瓜, ORANGE VALENCIA 水橙子 (120G-200G/NOS), BASIL 罗勒 / 九辰塔 (50G/PKT), CUCUMBER JAPANESE 日本黄瓜 (KG), LIME SEEDLESS 无子青柠檬, BLUEBERRY 兰莓 (100G-125G/PKT)",26
面7包,Yellow Noodles () 3kg 熟黄面,"Pork Taiwan Sausage (Golden Dragon) 500gmx10pkt SG, Chicken Wing 90gm Up (Alliz) 15kg BR 鸡翅, Chicken Nugget Cooked (Seara) 1kgx10pkt BR 巴西鸡金块, JK Chicken Minced (Bag) 2kgx10pkt SG, PORK TAIWAN SAUSAGE 500GM/PKT, 20PKT/CTN 猪肉台湾香肠, Chicken Taiwan Sausage (Golden Dragon) 500gmx10pkt, Chicken Nuggets Tempura Fully Cooked 1kgx15pkt MY, CHICKEN TAIWAN SAUSAGE (S.S.KIM) 500GMX20PKT SG, VEGETARIAN CHAR SIEW CUBE 斋叉烧粒, YELLOW NOODLES (H) 3KG SG 熟黄面, VEGETABLE OIL (LEE CHEF) 5LX4TIN MY 李厨菜油, Rice Vermicelli - Thin (Camel) 3kg SG 细骆驼米粉, Fish Burger 32pcs (Sahir) 2.5kgx6pkt SG  鱼肉饼, Crispy Chicken Nugget (Freezepak) 1kgx9pkt TH泰国麦鸡块, Chicken Franks 10pcs (Perdix) 340gmx24pkt BR 热狗, Fish Burger 32pcs (Zuzen) 1kgx6pkt MY 香脆鱼片, LAKSA VERMICELLI NOODLE (E) 3KG SG 叻沙米粉, CHICKEN WING 100-120GM (PERDIGAO) 15KG BR 鸡翅, JK PORK MINCED B THICK (BAG) 2KGX10PKT SG B粗, Fresh Kway Teow 3Kg/Pkt 粿条, JK PORK MINCED B (BAG) 2KGX6PKT SG 猪肉碎B, Chicken Wing 100-120gm (Aurora) 9kg BR 鸡翅100-120, CALIFORNIA MIXED VEGETABLES (SHAN)1KGX10PKT CN加州蔬菜, Noodle Mee Tai Bak (H) 3kg SG 老鼠粉, Vegetarian Char Siew Slice, BIHUN (GOLDEN KIRIN) 3KG MY (HALAL) , Chicken Katsu (Premier First) 1kgx10pkt TH, Fish Otah Spicy Mackerel (Lee Food) 20pcs SG 窝打辣, CHICKEN WING 100-120GM (SEARA) 15KG BR 鸡翅, Fish Chip Red (PFP) 500gmx20pkt TH 泰鱼片(红), KWAY TEOW -  S (H) 3KG SG 粿条仔, PRICE ADJUSTMENT",33
Peeled yellow onion,ONION PEELED 去皮大洋葱,"CARROTS 红萝卜, EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, PEPPERMINT  薄荷叶 (50G/PKT), CABBAGE RED / CABBAGE PURPLE 紫包菜 / 红包菜, FRENCH SHALLOT BANANA 法国洋葱, POTATO BABY / POTATO MARBLE 小土豆 / 小马铃薯, ONION PEELED 去皮大洋葱, CELERY IMPORTED 西芹菜, CHILLI PADRON 墨西哥波布拉诺辣椒 (KG), BROCCOLINI 西兰花苗, CAULIFLOWER 花椰菜, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), CAPSICUM PEPPER RED 红灯笼椒 / 红大辣椒, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), TOMATO (500G/PKT) 蕃茄, POTATO LOCAL 土豆 / 马铃薯, CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LEMON YELLOW 黄柠檬 (150G-200G/NOS), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, ZUCCHINI GREEN 青夏南瓜, TOMATO ROMA / PLUM 罗马蕃茄 (KG), BEETROOT 红甜菜根, ORANGE VALENCIA 水橙子 (120G-200G/NOS), BROCCOLI AUST 澳洲西兰花, CORN ON COB 玉米 (2PCS/PKT), CUCUMBER JAPANESE 日本黄瓜 (KG), MUSHROOM WHITE BUTTON 白蘑菇 (KG), BRUSSEL SPROUT 芽甘蓝 / 小洋包菜, ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), SWEET POTATO ORANGE LOCAL 橘肉蕃薯, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, LIME SEEDLESS 无子青柠檬, CABBAGE LONG WONG BOK 大白菜",33
mussels,WHOLE BLACK MUSSEL 5-8CM/PC (1KG X 10PKT) - PO,"31/40 PND VANNAMEI (1KG X 10PKTS) - PO, SMOKED SALMON SLICED -YPOF, 1/2 SHELL SCALLOP WITH ROE 9-10 - SPOF, WHITE CLAM WITH SHELL 40/60 (1KG X 10PKTS) - PO, FROZEN CUT SLIPPER LOBSTER 50-75G (10KG/CTN) - PO, FROZEN SALMON FILLET - 15KG/CTN - PO, SCOTIA BAY SCALLOP MEAT 16/20, 2.27KG X 6/CTN, WHOLE BLACK MUSSEL 5-8CM/PC (1KG X 10PKT) - PO, SMOKED SALMON PRE-SLICED (900g X 10PKT) - PO, 9kg/ctn",11
Onion ring,BATTERED ONION RING (10PKT),"SPICY CHICKEN CUTLET, BATTERED ONION RING (10PKT), SC1A SMK DUCK BREAST SLICED ORIGINAL (10PC), (33) CRISPY CHICKEN SEAWEED 1KG, SC1 SMK DUCK BREAST ORIGINAL (10PC), (22) SUPER CRISPY CHICKEN 1KG, ROASTED WINGSTICK 1KG, TEMPURA CHICKEN NUGGET, FS05 FRIED CRISPY THIGH, (99) S/L CHIX BREAST FILLET 1.15KG, FS04 GOLDEN CRISPY WING, FS01 FRIED 2 JOINT WING, CHICKEN GYOZA ORIGINAL 1KG X 10PKT , FS07 FRIED CRISPY DRUM",14
Fresh fish cake with chili,FRESH FISH CAKE (VEG),"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), TAU KEE PUFF, CHICKEN BEANCURD, TEOCHEW FISH CAKE (20PCS), (L)FRESH FISH BALL (50), CHICKEN DUMPLING, SEAFOOD BEANCURD, HAKKA CHICKEN MINCED MEAT, COOKED FISH BALL, MEDIUM BEAN POK",11
Red chili,RED CHILLI 红辣椒,"ROUND CABBAGE 包菜, LARGE ONION 大洋葱, OLD GINGER 老姜, GREEN FRISEE 青菲茜, CHERRY TOMATO 樱桃番茄, RED CARROT 红萝卜, GINGER FLOWER 姜花, MEDIUM TOMATO 中番茄, YOUNG GINGER 子姜, PEELED GARLIC 蒜肉, CURRY LEAF 咖喱叶, YELLOW LEMON 黄柠檬, ROMAINE LETTUCE 罗马生菜, BOMBAY ONION 红大葱, BUTTON MUSHROOM 白菇, RED CHILLI 红辣椒, PEELED SHALLOT 葱肉, BEIJING CABBAGE 北京包菜, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, ICEBERG LETTUCE 西生菜",21
tou fu pian 豆腐片,CUTTLEFISH TOFU,"SEAFOOD RING ROLL, (L)FRESH FISH BALL 100, TAU KEE PUFF, CUTTLEFISH NUGGET, FISH FINGER, SEAFOOD ROLL, CUTTLEFISH BALL (250GM X 12PACK), CUTTLEFISH TOFU, FISH PASTE, KOREAN FISH CAKE, FRIED FISH BALL, TEOCHEW FISH CAKE (20PCS), TEOCHEW FISH MEAT BALL, (M) FRESH FISH BALL 100, HANDMADE FRESH FISH BALL (VEG) 50, HANDMADE SMALL FISH CAKE, CHICKEN NGOH HIANG BALL, FISH DUMPLING 鱼鲛 20PCS, HANDMADE FRESH FISH BALL (W) 50, HANDMADE FISH CAKE",20
Corriander,CORIANDER 香菜 / 芫荽 (300G-350G/BUN),"CARROTS 红萝卜, EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, PEPPERMINT  薄荷叶 (50G/PKT), CABBAGE RED / CABBAGE PURPLE 紫包菜 / 红包菜, FRENCH SHALLOT BANANA 法国洋葱, POTATO BABY / POTATO MARBLE 小土豆 / 小马铃薯, ONION PEELED 去皮大洋葱, CELERY IMPORTED 西芹菜, CHILLI PADRON 墨西哥波布拉诺辣椒 (KG), BROCCOLINI 西兰花苗, CAULIFLOWER 花椰菜, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), CAPSICUM PEPPER RED 红灯笼椒 / 红大辣椒, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), TOMATO (500G/PKT) 蕃茄, POTATO LOCAL 土豆 / 马铃薯, CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LEMON YELLOW 黄柠檬 (150G-200G/NOS), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, ZUCCHINI GREEN 青夏南瓜, TOMATO ROMA / PLUM 罗马蕃茄 (KG), BEETROOT 红甜菜根, ORANGE VALENCIA 水橙子 (120G-200G/NOS), BROCCOLI AUST 澳洲西兰花, CORN ON COB 玉米 (2PCS/PKT), CUCUMBER JAPANESE 日本黄瓜 (KG), MUSHROOM WHITE BUTTON 白蘑菇 (KG), BRUSSEL SPROUT 芽甘蓝 / 小洋包菜, ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), SWEET POTATO ORANGE LOCAL 橘肉蕃薯, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, LIME SEEDLESS 无子青柠檬, CABBAGE LONG WONG BOK 大白菜",33
Cooked tiger hoso 31/35,"COOKED TIGER PRAWN 31/35, 10KG - PJA","LOLIGO SQUID CUT S, (2KG/5BLK) - PO, SOTONG PASTE - MGG (1KG X 15PKT) - PVA0021, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, 16/20 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, 31/40 PTO VANNAMEI SHRIMP (1KG X 10PKT) - PO, 51/60 PND VANNAMEI SHRIMP (1KG X 10PKTS) - PO, 100/200 PND VANNAMEI SHRIMP (10X1KG) - PO, COOKED TIGER PRAWN 31/35, 10KG - PJA, HC PRAWN HEAD - 12KGS",11
